id_venta,fecha,id_cliente,nombre_cliente,email,medio_pago,id_producto,nombre_producto,categoria,precio_unitario,cantidad,importe,ciudad,fecha_alta,latitud,longitud,Valor_del_Plan,precio_unitario_normalizado,cantidad_normalizado,importe_normalizado
33,2024-02-13,6,Uma Medina,uma.medina@mail.com,Efectivo,100,Trapo de Piso,Limpieza,4854,1,4854,Villa María,2023-01-06,-32.4075,-63.2402,Medio,1.68,-1.44,-0.55
33,2024-02-13,6,Uma Medina,uma.medina@mail.com,Efectivo,91,Desodorante Aerosol,Limpieza,4690,2,9380,Villa María,2023-01-06,-32.4075,-63.2402,Medio,1.56,-0.7,0.31
34,2024-01-13,58,Karina Acosta,karina.acosta2@mail.com,Transferencia,10,Yerba Mate Intensa 1kg,Abarrotes,4883,1,4883,Río Cuarto,2023-02-27,-33.1304,-64.3527,Medio,1.7,-1.44,-0.54
34,2024-01-13,58,Karina Acosta,karina.acosta2@mail.com,Transferencia,32,Chocolate Amargo 100g,Abarrotes,2234,5,11170,Río Cuarto,2023-02-27,-33.1304,-64.3527,Alto,-0.32,1.49,0.65
35,2024-05-30,61,Guadalupe Martinez,guadalupe.martinez@mail.com,Efectivo,93,Cepillo de Dientes,Limpieza,2142,3,6426,Río Cuarto,2023-03-02,-33.1304,-64.3527,Medio,-0.39,0.03,-0.25
35,2024-05-30,61,Guadalupe Martinez,guadalupe.martinez@mail.com,Efectivo,80,Helado de Frutilla 1L,Dulcería,1981,2,3962,Río Cuarto,2023-03-02,-33.1304,-64.3527,Medio,-0.51,-0.7,-0.72
35,2024-05-30,61,Guadalupe Martinez,guadalupe.martinez@mail.com,Efectivo,88,Caldo Concentrado Carne,Abarrotes,2570,5,12850,Río Cuarto,2023-03-02,-33.1304,-64.3527,Alto,-0.06,1.49,0.97
36,2024-06-25,5,Agustina Flores,agustina.flores@mail.com,Tarjeta,50,Azúcar 1kg,Abarrotes,727,4,2908,Córdoba,2023-01-05,-31.4065,-64.1885,Bajo,-1.47,0.76,-0.92
36,2024-06-25,5,Agustina Flores,agustina.flores@mail.com,Tarjeta,48,Porotos Negros 500g,Abarrotes,4462,2,8924,Córdoba,2023-01-05,-31.4065,-64.1885,Medio,1.38,-0.7,0.23
37,2024-05-17,57,Julian Acosta,julian.acosta@mail.com,QR,18,Queso Rallado 150g,Embutidos,3444,3,10332,Río Cuarto,2023-02-26,-33.1304,-64.3527,Alto,0.6,0.03,0.49
38,2024-05-29,56,Bruno Diaz,bruno.diaz@mail.com,Tarjeta,62,Stevia 100 sobres,Abarrotes,3848,5,19240,Río Cuarto,2023-02-25,-33.1304,-64.3527,Alto,0.91,1.49,2.19
38,2024-05-29,56,Bruno Diaz,bruno.diaz@mail.com,Tarjeta,14,Leche Entera 1L,Abarrotes,1723,3,5169,Río Cuarto,2023-02-25,-33.1304,-64.3527,Medio,-0.71,0.03,-0.49
38,2024-05-29,56,Bruno Diaz,bruno.diaz@mail.com,Tarjeta,65,Cerveza Rubia 1L,Licores,2423,5,12115,Río Cuarto,2023-02-25,-33.1304,-64.3527,Alto,-0.18,1.49,0.83
38,2024-05-29,56,Bruno Diaz,bruno.diaz@mail.com,Tarjeta,5,Agua Mineral 500ml,Bebidas,4777,3,14331,Río Cuarto,2023-02-25,-33.1304,-64.3527,Alto,1.62,0.03,1.25
39,2024-03-05,5,Agustina Flores,agustina.flores@mail.com,Efectivo,44,Arroz Largo Fino 1kg,Abarrotes,2979,4,11916,Córdoba,2023-01-05,-31.4065,-64.1885,Alto,0.25,0.76,0.79
39,2024-03-05,5,Agustina Flores,agustina.flores@mail.com,Efectivo,22,Medialunas de Manteca,Embutidos,2069,2,4138,Córdoba,2023-01-05,-31.4065,-64.1885,Medio,-0.45,-0.7,-0.68
39,2024-03-05,5,Agustina Flores,agustina.flores@mail.com,Efectivo,58,Caramelos Masticables,Dulcería,4752,4,19008,Córdoba,2023-01-05,-31.4065,-64.1885,Alto,1.6,0.76,2.14
39,2024-03-05,5,Agustina Flores,agustina.flores@mail.com,Efectivo,81,Aceitunas Verdes 200g,Embutidos,2520,4,10080,Córdoba,2023-01-05,-31.4065,-64.1885,Medio,-0.1,0.76,0.45
40,2024-05-13,15,Tomas Ruiz,tomas.ruiz@mail.com,Efectivo,44,Arroz Largo Fino 1kg,Abarrotes,2979,2,5958,Córdoba,2023-01-15,-31.4065,-64.1885,Medio,0.25,-0.7,-0.34
41,2024-03-08,29,Diego Fernandez,diego.fernandez@mail.com,Tarjeta,51,Sal Fina 500g,Abarrotes,1745,1,1745,Alta Gracia,2023-01-29,-31.6498,-64.4297,Bajo,-0.69,-1.44,-1.14
41,2024-03-08,29,Diego Fernandez,diego.fernandez@mail.com,Tarjeta,15,Leche Descremada 1L,Abarrotes,2538,1,2538,Alta Gracia,2023-01-29,-31.6498,-64.4297,Bajo,-0.09,-1.44,-0.99
42,2024-04-18,12,Gael Gomez,gael.gomez@mail.com,Tarjeta,47,Garbanzos 500g,Abarrotes,2939,3,8817,Alta Gracia,2023-01-12,-31.6498,-64.4297,Medio,0.22,0.03,0.21
42,2024-04-18,12,Gael Gomez,gael.gomez@mail.com,Tarjeta,29,Papas Fritas Onduladas 100g,Dulcería,1868,1,1868,Alta Gracia,2023-01-12,-31.6498,-64.4297,Bajo,-0.6,-1.44,-1.11
42,2024-04-18,12,Gael Gomez,gael.gomez@mail.com,Tarjeta,73,Gin 700ml,Licores,1561,3,4683,Alta Gracia,2023-01-12,-31.6498,-64.4297,Medio,-0.84,0.03,-0.58
43,2024-02-18,23,Helena Fernandez,helena.fernandez@mail.com,Efectivo,1,Coca Cola 1.5L,Bebidas,2347,5,11735,Río Cuarto,2023-01-23,-33.1304,-64.3527,Alto,-0.23,1.49,0.76
43,2024-02-18,23,Helena Fernandez,helena.fernandez@mail.com,Efectivo,49,Harina de Trigo 1kg,Abarrotes,2512,2,5024,Río Cuarto,2023-01-23,-33.1304,-64.3527,Medio,-0.11,-0.7,-0.51
43,2024-02-18,23,Helena Fernandez,helena.fernandez@mail.com,Efectivo,66,Cerveza Negra 1L,Licores,1533,2,3066,Río Cuarto,2023-01-23,-33.1304,-64.3527,Bajo,-0.86,-0.7,-0.89
44,2024-02-21,21,Elena Rodriguez,elena.rodriguez@mail.com,Efectivo,48,Porotos Negros 500g,Abarrotes,4462,1,4462,Alta Gracia,2023-01-21,-31.6498,-64.4297,Medio,1.38,-1.44,-0.62
44,2024-02-21,21,Elena Rodriguez,elena.rodriguez@mail.com,Efectivo,47,Garbanzos 500g,Abarrotes,2939,2,5878,Alta Gracia,2023-01-21,-31.6498,-64.4297,Medio,0.22,-0.7,-0.35
44,2024-02-21,21,Elena Rodriguez,elena.rodriguez@mail.com,Efectivo,100,Trapo de Piso,Limpieza,4854,2,9708,Alta Gracia,2023-01-21,-31.6498,-64.4297,Medio,1.68,-0.7,0.38
45,2024-01-19,15,Tomas Ruiz,tomas.ruiz@mail.com,Efectivo,12,Té Negro 20 saquitos,Abarrotes,570,2,1140,Córdoba,2023-01-15,-31.4065,-64.1885,Bajo,-1.59,-0.7,-1.25
45,2024-01-19,15,Tomas Ruiz,tomas.ruiz@mail.com,Efectivo,18,Queso Rallado 150g,Embutidos,3444,2,6888,Córdoba,2023-01-15,-31.4065,-64.1885,Medio,0.6,-0.7,-0.16
